PERFORMANCE BY SECURITY,,,,,,,,,,
Group : 109780        From  01/01/2025  To  31/03/2025   Client Associates,,,,,,,,,,
Security,Begin  MV,Inflow,Outflow,Profit,End  MV,Absolute Return,,Annualized Return,,Benchmark
,,,,,,Portfolio,Benchmark,Portfolio,Benchmark,
Equity,,,,,,,,,,
Large Cap,,,,,,,,,,
ALTA CURA AI MAXIMUS FUND - Class D 29-Aug-24,"13,73,78,577",0,0,"1,54,836","13,75,33,414",0.11%,-1.93%,0.46%,-7.69%,BSE 100
ALTA CURA AI MAXIMUS FUND - Class D 31-July-24,"9,67,77,500",0,0,"1,08,800","9,68,86,300",0.11%,-1.93%,0.46%,-7.69%,BSE 100
ALTA CURA AI MAXIMUS FUND - Class D 31-Mar-2024,"13,30,50,480",0,0,"-7,42,080","13,23,08,400",-0.56%,-1.93%,-2.27%,-7.69%,BSE 100
Accuracap - Alpha 10,"9,10,46,638",0,"8,15,61,413","-94,85,226",0,-10.42%,-6.20%,-44.12%,-28.71%,BSE 100
Accuracap - Alpha 10,"4,86,32,660",0,"4,34,37,398","-51,95,261",0,-10.68%,-6.18%,-44.99%,-28.64%,BSE 100
Accuracap - Alpha 10,"4,67,14,454",0,"4,17,13,842","-50,00,612",0,-10.70%,-6.18%,-45.06%,-28.64%,BSE 100
Accuracap - Alpha 10,"1,57,58,151",0,"1,41,69,286","-15,88,865",0,-10.08%,-6.22%,-43.01%,-28.80%,BSE 100
Accuracap - Alpha 10,"76,43,289",0,"68,75,353","-7,67,936",0,-10.05%,-6.22%,-42.89%,-28.81%,BSE 100
AlphaGrep Index Plus Fund,"8,61,45,933",0,0,"-10,15,069","8,51,30,863",-1.18%,-1.93%,-4.74%,-7.69%,BSE 100
AlphaGrep Index Plus Fund,"2,15,44,987",0,0,"-2,53,868","2,12,91,119",-1.18%,-1.93%,-4.74%,-7.69%,BSE 100
